Gene,Category
p5.00_sc00001_p0001,Category_00
p5.00_sc00001_p0002,Category_00
p5.00_sc00001_p0003,Category_00
p5.00_sc00001_p0004,Category_00
p5.00_sc00001_p0005,Category_01
p5.00_sc00001_p0006,Category_01
p5.00_sc00001_p0007,Category_01
p5.00_sc00001_p0008,Category_01
p5.00_sc00001_p0009,Category_01
p5.00_sc00001_p0010,Category_01
p5.00_sc00001_p0011,Category_01
p5.00_sc00001_p0012,Category_01
p5.00_sc00001_p0013,Category_01
p5.00_sc00001_p0014,Category_02
p5.00_sc00001_p0015,Category_02
p5.00_sc00001_p0016,Category_02
p5.00_sc00001_p0017,Category_02
p5.00_sc00001_p0018,Category_02
p5.00_sc00001_p0019,Category_02
p5.00_sc00001_p0020,Category_02
p5.00_sc00001_p0021,Category_02
p5.00_sc00001_p0022,Category_02
p5.00_sc00001_p0023,Category_03
p5.00_sc00001_p0024,Category_03
p5.00_sc00001_p0025,Category_03
p5.00_sc00001_p0026,Category_03
p5.00_sc00001_p0027,Category_03
p5.00_sc00001_p0028,Category_03
p5.00_sc00001_p0029,Category_03
p5.00_sc00001_p0030,Category_04
p5.00_sc00001_p0031,Category_04
p5.00_sc00001_p0032,Category_04
p5.00_sc00001_p0033,Category_04
p5.00_sc00001_p0034,Category_04
p5.00_sc00001_p0035,Category_04
p5.00_sc00001_p0036,Category_04
p5.00_sc00001_p0037,Category_04
p5.00_sc00001_p0038,Category_04
p5.00_sc00001_p0039,Category_05
p5.00_sc00001_p0040,Category_05
p5.00_sc00001_p0041,Category_05
p5.00_sc00001_p0042,Category_05
p5.00_sc00001_p0043,Category_05
p5.00_sc00001_p0044,Category_05
p5.00_sc00001_p0045,Category_05
p5.00_sc00001_p0046,Category_05
p5.00_sc00001_p0047,Category_05
p5.00_sc00001_p0048,Category_05
p5.00_sc00001_p0049,Category_05
p5.00_sc00001_p0050,Category_06
p5.00_sc00001_p0051,Category_06
p5.00_sc00001_p0052,Category_06
p5.00_sc00001_p0053,Category_06
p5.00_sc00001_p0054,Category_06
p5.00_sc00001_p0055,Category_06
p5.00_sc00001_p0056,Category_06
p5.00_sc00001_p0057,Category_06
p5.00_sc00001_p0058,Category_06
p5.00_sc00001_p0059,Category_07
p5.00_sc00001_p0060,Category_07
p5.00_sc00001_p0061,Category_07
p5.00_sc00001_p0062,Category_07
p5.00_sc00001_p0063,Category_07
p5.00_sc00001_p0064,Category_07
p5.00_sc00001_p0065,Category_07
p5.00_sc00001_p0066,Category_07
p5.00_sc00001_p0067,Category_07
p5.00_sc00001_p0068,Category_07
p5.00_sc00001_p0069,Category_08
p5.00_sc00001_p0070,Category_08
p5.00_sc00001_p0071,Category_08
p5.00_sc00001_p0072,Category_08
p5.00_sc00001_p0073,Category_08
p5.00_sc00001_p0074,Category_08
p5.00_sc00001_p0075,Category_08
p5.00_sc00001_p0076,Category_08
p5.00_sc00001_p0077,Category_08
p5.00_sc00001_p0078,Category_08
p5.00_sc00001_p0079,Category_08
p5.00_sc00001_p0080,Category_08
p5.00_sc00001_p0081,Category_09
p5.00_sc00001_p0082,Category_09
p5.00_sc00001_p0083,Category_09
p5.00_sc00001_p0084,Category_09
p5.00_sc00001_p0085,Category_09
p5.00_sc00001_p0086,Category_09
p5.00_sc00001_p0087,Category_09
p5.00_sc00001_p0088,Category_09
p5.00_sc00001_p0089,Category_09
p5.00_sc00001_p0090,Category_09
p5.00_sc00001_p0091,Category_10
p5.00_sc00001_p0092,Category_10
p5.00_sc00001_p0093,Category_10
p5.00_sc00001_p0094,Category_10
p5.00_sc00001_p0095,Category_10
p5.00_sc00001_p0096,Category_10
p5.00_sc00001_p0097,Category_10
p5.00_sc00001_p0098,Category_10
p5.00_sc00001_p0099,Category_10
p5.00_sc00001_p0100,Category_10
