Sample,Perlakuan
SRR9656587,Embriogenesis
SRR9656588,Embriogenesis
SRR9656589,Embriogenesis
SRR9656590,Embriogenesis
SRR9656591,Embriogenesis
SRR9656592,Embriogenesis
SRR9656593,Embriogenesis
SRR9656594,Embriogenesis
SRR9656595,Embriogenesis
SRR9656596,Embriogenesis
SRR9656597,Embriogenesis
SRR9656598,Embriogenesis
SRR11553560,miRNA
SRR11553561,miRNA
SRR11553562,miRNA
SRR11553563,miRNA
DRR286072,Stres abiotik (kering)
DRR286073,Stres abiotik (kering)
DRR286074,Stres abiotik (kering)
DRR286075,Stres abiotik (kering)
DRR286076,Stres abiotik (kering)
DRR286077,Stres abiotik (kering)
DRR331644,Stres abiotik (tinggi salinasi)
DRR331645,Stres abiotik (tinggi salinasi)
DRR331646,Stres abiotik (tinggi salinasi)
DRR331647,Stres abiotik (tinggi salinasi)
DRR331648,Stres abiotik (tinggi salinasi)
DRR331649,Stres abiotik (tinggi salinasi)
DRR331650,Stres abiotik (tinggi salinasi)
DRR331651,Stres abiotik (tinggi salinasi)
DRR331652,Stres abiotik (tinggi salinasi)
DRR331653,Stres abiotik (tinggi salinasi)
DRR331654,Stres abiotik (tinggi salinasi)
DRR331655,Stres abiotik (tinggi salinasi)
DDR400294,Stres abiotik (dingin)
DDR400295,Stres abiotik (dingin)
DDR400296,Stres abiotik (dingin)
DDR400297,Stres abiotik (dingin)
DDR400298,Stres abiotik (dingin)
DDR400299,Stres abiotik (dingin)
DDR400300,Stres abiotik (dingin)
DDR400301,Stres abiotik (dingin)
DDR400302,Stres abiotik (dingin)
ERR1735778,Daun
ERR1735779,Daun
ERR2937439,Infeksi patogen (Ganoderma)
ERR2937440,Infeksi patogen (Ganoderma)
ERR2937441,Infeksi patogen (Ganoderma)
ERR2937442,Infeksi patogen (Ganoderma)
ERR2937443,Infeksi patogen (Ganoderma)
ERR2937444,Infeksi patogen (Ganoderma)
ERR2937445,Infeksi patogen (Ganoderma)
ERR2937446,Infeksi patogen (Ganoderma)
ERR2937447,Infeksi patogen (Ganoderma)
ERR2937448,Infeksi patogen (Ganoderma)
ERR2937449,Infeksi patogen (Ganoderma)
ERR2937450,Infeksi patogen (Ganoderma)
ERR2937451,Infeksi patogen (Ganoderma)
ERR2937452,Infeksi patogen (Ganoderma)
ERR2937453,Infeksi patogen (Ganoderma)
ERR2937454,Infeksi patogen (Ganoderma)
SRR654050,Penyerapan Fosfat
SRR1019970,Sintesis lipid
SRR1259332,Warna buah
SRR1259431,Warna buah
SRR1260601,Warna buah
